,Unnamed: 0,Text,Sentiment,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
0,0, Enjoying a beautiful day at the park!              , Positive  , User123      , Twitter  , Nature Park                            ,15,30, USA      ,2023,1,15,12
1,1, Traffic was terrible this morning.                 , Negative  , CommuterX    , Twitter  , Traffic Morning                        ,5,10, Canada   ,2023,1,15,8
2,2, Just finished an amazing workout! 💪               , Positive  , FitnessFan   , Instagram , Fitness Workout                        ,20,40, USA        ,2023,1,15,15
3,3, Excited about the upcoming weekend getaway!        , Positive  , AdventureX   , Facebook , Travel Adventure                       ,8,15, UK       ,2023,1,15,18
4,4, Trying out a new recipe for dinner tonight.        , Neutral   , ChefCook     , Instagram , Cooking Food                           ,12,25, Australia ,2023,1,15,19
5,5, Feeling grateful for the little things in life.    , Positive  , GratitudeNow , Twitter  , Gratitude PositiveVibes              ,25,50, India    ,2023,1,16,9
6,6, Rainy days call for cozy blankets and hot cocoa.   , Positive  , RainyDays    , Facebook , RainyDays Cozy                         ,10,20, Canada   ,2023,1,16,14
7,7, The new movie release is a must-watch!             , Positive  , MovieBuff    , Instagram , MovieNight MustWatch                  ,15,30, USA    ,2023,1,16,19
8,8, Political discussions heating up on the timeline.  , Negative  , DebateTalk   , Twitter  , Politics Debate                       ,30,60, USA      ,2023,1,17,8
9,9, Missing summer vibes and beach days.               , Neutral   , BeachLover   , Facebook , Summer BeachDays                      ,18,35, Australia ,2023,1,17,12
10,10, Just published a new blog post. Check it out!      , Positive  , BloggerX     , Instagram , Blogging NewPost                      ,22,45,USA,2023,1,17,15
11,11, Feeling a bit under the weather today.             , Negative  , WellnessCheck, Twitter  , SickDay Health                        ,7,15, Canada   ,2023,1,18,10
12,12, Exploring the city's hidden gems.                  , Positive  , UrbanExplorer, Facebook , CityExplore HiddenGems                ,12,25, UK       ,2023,1,18,14
13,13," New year, new fitness goals! 💪                    ", Positive  , FitJourney   , Instagram , NewYear FitnessGoals                  ,28,55, USA        ,2023,1,18,18
14,14, Technology is changing the way we live.            , Neutral   , TechEnthusiast, Twitter  , Tech Innovation                       ,15,30, India    ,2023,1,19,9
15,15, Reflecting on the past and looking ahead.          , Positive  , Reflections  , Facebook , Reflection Future                     ,20,40, USA      ,2023,1,19,13
16,16, Just adopted a cute furry friend! 🐾              , Positive  , PetAdopter   , Instagram , PetAdoption FurryFriend               ,15,30, Canada    ,2023,1,19,17
17,17, Late-night gaming session with friends.            , Positive  , GamerX       , Twitter  , Gaming LateNight                      ,18,35, UK       ,2023,1,20,0
18,18, Attending a virtual conference on AI.              , Neutral   , TechConference, Facebook , AI TechConference                     ,25,50,USA,2023,1,20,11
19,19, Winter blues got me feeling low.                   , Negative  , WinterBlues  , Instagram , WinterBlues Mood                      ,8,15, USA       ,2023,1,20,15
20,20, Sipping coffee and enjoying a good book.           , Positive  , Bookworm     , Twitter  , Reading CoffeeTime                    ,22,45, India    ,2023,1,21,8
21,21, Exploring the world of virtual reality.            , Positive  , VRExplorer   , Facebook , VR VirtualReality                     ,15,30,USA,2023,1,21,13
22,22, Productive day ticking off my to-do list.          , Positive  , ProductivityPro, Instagram , Productivity WorkFromHome           ,30,60, USA ,2023,1,21,16
23,23, Just finished a challenging workout routine.       , Positive  , FitnessWarrior, Twitter  , Fitness ChallengeAccepted             ,20,40, UK       ,2023,1,22,9
24,24, Celebrating a milestone at work! 🎉               , Positive  , CareerMilestone, Facebook , Career Milestone                      ,12,25, Canada  ,2023,1,22,14
25,25, Sunday brunch with friends.                        , Positive  , BrunchBuddy  , Instagram , Brunch Friends                       ,15,30, UK ,2023,1,22,12
